Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LAGUNA PARK,"1,680,000","1,614.6","1,041",Apr-23,MARINE PARADE ROAD,Resale,Strata,150,"11,200",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,01 to 05
FORTUNE JADE,"1,868,000","1,140.98","1,637",Apr-23,DUNMAN ROAD,Resale,Strata,106,"17,623",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
THE TREVOSE,"3,100,000","1,765.3","1,756",Apr-23,TREVOSE CRESCENT,Resale,Strata,164,"18,902",-,Condominium,1,99 yrs lease commencing from 1996,11,Core Central Region,01 to 05
THE TRE VER,"1,220,000",645.84,"1,889",Apr-23,POTONG PASIR AVENUE 1,Sub Sale,Strata,60,"20,333",-,Condominium,1,99 yrs lease commencing from 2018,13,Rest of Central Region,16 to 20
GRANDEUR PARK RESIDENCES,"1,250,000",667.37,"1,873",Apr-23,BEDOK SOUTH AVENUE 3,Resale,Strata,62,"20,161",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,01 to 05
THE GAZANIA,"3,188,000","1,840.64","1,732",Apr-23,HOW SUN DRIVE,New Sale,Strata,171,"18,643",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
TEMBUSU GRAND,"2,482,000",990.29,"2,506",Apr-23,JALAN TEMBUSU,New Sale,Strata,92,"26,978",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,16 to 20
PARC RIVIERA,"1,585,000",990.29,"1,601",Apr-23,WEST COAST VALE,Resale,Strata,92,"17,228",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,31 to 35
TWIN REGENCY,"2,900,000","1,442.38","2,011",Apr-23,KIM TIAN ROAD,Resale,Strata,134,"21,642",-,Condominium,1,Freehold,03,Rest of Central Region,16 to 20
SHIRO,"640,000",452.09,"1,416",Apr-23,LORONG H TELOK KURAU,Resale,Strata,42,"15,238",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
HIGHGATE,"1,935,000","1,323.97","1,462",Apr-23,TOH TUCK ROAD,Resale,Strata,123,"15,732",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
LAKE GRANDE,"1,310,000",775.01,"1,690",Apr-23,JURONG LAKE LINK,Resale,Strata,72,"18,194",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,06 to 10
STRATUM,"1,045,000",914.94,"1,142",Apr-23,ELIAS ROAD,Resale,Strata,85,"12,294",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
STRATUM,"960,000",775.01,"1,239",Apr-23,ELIAS ROAD,Resale,Strata,72,"13,333",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
PARC OLYMPIA,"915,000",796.54,"1,149",Apr-23,FLORA DRIVE,Resale,Strata,74,"12,365",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10
SOPHIA HILLS,"3,150,000","1,539.25","2,046",Apr-23,MOUNT SOPHIA,Resale,Strata,143,"22,028",-,Condominium,1,99 yrs lease commencing from 2013,09,Core Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"7,900,000","2,938.57","2,688",Apr-23,KEPPEL BAY VIEW,Resale,Strata,273,"28,938",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,01 to 05
RIVERSOUND RESIDENCE,"1,125,000",904.18,"1,244",Apr-23,SENGKANG EAST AVENUE,Resale,Strata,84,"13,393",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
D'NEST,"790,000",570.49,"1,385",Apr-23,PASIR RIS GROVE,Resale,Strata,53,"14,906",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
MIDTOWN MODERN,"1,406,000",473.62,"2,969",Apr-23,TAN QUEE LAN STREET,Sub Sale,Strata,44,"31,955",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,11 to 15
CAPE ROYALE,"5,717,000","2,508.01","2,279",Apr-23,COVE WAY,Resale,Strata,233,"24,536",-,Condominium,1,99 yrs lease commencing from 2008,04,Core Central Region,16 to 20
SUITES @ AMBER,"920,000",473.62,"1,943",Apr-23,AMBER ROAD,Resale,Strata,44,"20,909",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MAYSPRINGS,"975,000",904.18,"1,078",Apr-23,PETIR ROAD,Resale,Strata,84,"11,607",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,11 to 15
PARK COLONIAL,"2,000,000",979.52,"2,042",Apr-23,WOODLEIGH LANE,Resale,Strata,91,"21,978",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,11 to 15
KINGSFORD WATERBAY,"1,360,000","1,065.64","1,276",Apr-23,UPPER SERANGOON VIEW,Resale,Strata,99,"13,737",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,16 to 20
THE FORESTA @ MOUNT FABER,"1,430,000",861.12,"1,661",Apr-23,WISHART ROAD,Resale,Strata,80,"17,875",-,Condominium,1,Freehold,04,Rest of Central Region,01 to 05
SOPHIA HILLS,"1,445,000",699.66,"2,065",Apr-23,MOUNT SOPHIA,Resale,Strata,65,"22,231",-,Condominium,1,99 yrs lease commencing from 2013,09,Core Central Region,06 to 10
CARDIFF RESIDENCE,"663,000",419.8,"1,579",Apr-23,CARDIFF GROVE,Resale,Strata,39,"17,000",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
BELMOND GREEN,"2,700,000","1,323.97","2,039",Apr-23,BALMORAL ROAD,Resale,Strata,123,"21,951",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
CORALS AT KEPPEL BAY,"6,985,000","2,594.12","2,693",Apr-23,KEPPEL BAY DRIVE,Resale,Strata,241,"28,983",-,Condominium,1,99 yrs lease commencing from 2007,04,Rest of Central Region,01 to 05
LA FIESTA,"1,460,000",893.41,"1,634",Apr-23,SENGKANG SQUARE,Resale,Strata,83,"17,590",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
EAST PALM,"1,888,888","1,259.39","1,500",Apr-23,PALM ROAD,Resale,Strata,117,"16,144",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE LUXURIE,"1,520,000","1,054.87","1,441",Apr-23,COMPASSVALE ROAD,Resale,Strata,98,"15,510",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
EUHABITAT,"730,000",527.44,"1,384",Apr-23,JALAN EUNOS,Resale,Strata,49,"14,898",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
EUHABITAT,"1,600,000","1,259.39","1,270",Apr-23,JALAN EUNOS,Resale,Strata,117,"13,675",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
BARTLEY RESIDENCES,"1,820,000","1,065.64","1,708",Apr-23,LORONG HOW SUN,Resale,Strata,99,"18,384",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
CITY STUDIOS,"710,000",495.14,"1,434",Apr-23,RACE COURSE LANE,Resale,Strata,46,"15,435",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"1,820,000","1,076.4","1,691",Apr-23,KEPPEL BAY VIEW,Resale,Strata,100,"18,200",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,01 to 05
THE LAKEFRONT RESIDENCES,"1,588,000","1,001.05","1,586",Apr-23,LAKESIDE DRIVE,Resale,Strata,93,"17,075",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,16 to 20
ESPIRA SUITES,"700,000",430.56,"1,626",Apr-23,LORONG G TELOK KURAU,Resale,Strata,40,"17,500",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
GOODWOOD GRAND,"3,450,000","1,227.1","2,812",Apr-23,BALMORAL ROAD,Resale,Strata,114,"30,263",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
PARC ELEGANCE,"658,000",398.27,"1,652",Apr-23,TELOK KURAU ROAD,Resale,Strata,37,"17,784",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
TREVISTA,"1,950,000","1,140.98","1,709",Apr-23,LORONG 3 TOA PAYOH,Resale,Strata,106,"18,396",-,Condominium,1,99 yrs lease commencing from 2008,12,Rest of Central Region,31 to 35
ONE PEARL BANK,"3,142,000","1,184.04","2,654",Apr-23,PEARL BANK,New Sale,Strata,110,"28,564",-,Apartment,1,99 yrs lease commencing from 2019,03,Rest of Central Region,26 to 30
RIVIERE,"3,510,000","1,140.98","3,076",Apr-23,JIAK KIM STREET,New Sale,Strata,106,"33,113",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,31 to 35
KINGSFORD . HILLVIEW PEAK,"825,000",667.37,"1,236",Apr-23,HILLVIEW RISE,Resale,Strata,62,"13,306",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
CARDIFF RESIDENCE,"655,000",419.8,"1,560",Apr-23,CARDIFF GROVE,Resale,Strata,39,"16,795",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
MIDTOWN BAY,"2,437,000",731.95,"3,329",Apr-23,BEACH ROAD,New Sale,Strata,68,"35,838",-,Apartment,1,99 yrs lease commencing from 2018,07,Core Central Region,16 to 20
ECO,"880,000",581.26,"1,514",Apr-23,BEDOK SOUTH AVENUE 3,Resale,Strata,54,"16,296",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
CONCOURSE SKYLINE,"2,760,000","1,420.85","1,943",Apr-23,BEACH ROAD,Resale,Strata,132,"20,909",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,11 to 15
ENCHANTÉ,"2,727,572","1,001.05","2,725",Apr-23,EVELYN ROAD,New Sale,Strata,93,"29,329",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
LEEDON GREEN,"2,000,000",753.48,"2,654",Apr-23,LEEDON HEIGHTS,New Sale,Strata,70,"28,571",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
RESIDENTIAL APARTMENTS,"2,500,000","1,140.98","2,191",Apr-23,DRAYCOTT DRIVE,Resale,Strata,106,"23,585",-,Apartment,1,Freehold,10,Core Central Region,11 to 15
CASA MERAH,"1,660,000","1,227.1","1,353",Apr-23,TANAH MERAH KECHIL AVENUE,Resale,Strata,114,"14,561",-,Apartment,1,99 yrs lease commencing from 2006,16,Outside Central Region,06 to 10
8@WOODLEIGH,"1,418,888",828.83,"1,712",Apr-23,WOODLEIGH CLOSE,Resale,Strata,77,"18,427",-,Condominium,1,99 yrs lease commencing from 2008,13,Rest of Central Region,06 to 10
ZENITH,"1,640,000",742.72,"2,208",Apr-23,ZION ROAD,Resale,Strata,69,"23,768",-,Apartment,1,999 yrs lease commencing from 1877,10,Core Central Region,06 to 10
CAVENAGH GARDENS,"2,370,000","1,550.02","1,529",Apr-23,CAVENAGH ROAD,Resale,Strata,144,"16,458",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
BAYWIND RESIDENCES,"2,127,000",968.76,"2,196",Apr-23,LORONG N TELOK KURAU,New Sale,Strata,90,"23,633",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
D'OASIA,"805,000",538.2,"1,496",Apr-23,LORONG MELAYU,Resale,Strata,50,"16,100",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
